Response,Linear*2,Noise,LinearNoise_1,LinearNoise_5,LinearNoise_9,LinearQuadraticNoise,Quadratic,Cubic
0.273672,0.547345,0.501184,0.323791,0.524264,0.724738,1.276040,0.074897,0.020497
0.273806,0.547613,0.933451,0.367151,0.740532,1.113913,2.140709,0.074970,0.020527
0.747229,1.494459,0.373103,0.784540,0.933781,1.083022,1.493436,0.558352,0.417217
0.975143,1.950287,0.694764,1.044620,1.322525,1.600431,2.364670,0.950905,0.927268
0.238318,0.476635,0.130618,0.251379,0.303627,0.355874,0.499554,0.056795,0.013535
0.813353,1.626706,0.643141,0.877667,1.134924,1.392180,2.099635,0.661543,0.538068
0.015638,0.031277,0.393764,0.055015,0.212520,0.370026,0.803166,0.000245,0.000004
0.227910,0.455819,0.649737,0.292883,0.552778,0.812673,1.527384,0.051943,0.011838
0.868725,1.737450,0.054768,0.874202,0.896109,0.918016,0.978261,0.754683,0.655612
0.033753,0.067505,0.494920,0.083245,0.281212,0.479180,1.023592,0.001139,0.000038
0.518434,1.036867,0.575037,0.575937,0.805952,1.035967,1.668507,0.268773,0.139341
0.561670,1.123340,0.619741,0.623644,0.871541,1.119437,1.801152,0.315473,0.177192
0.711567,1.423135,0.932303,0.804798,1.177719,1.550640,2.576174,0.506328,0.360287
0.684192,1.368385,0.922297,0.776422,1.145341,1.514260,2.528787,0.468119,0.320284
0.619633,1.239267,0.160147,0.635648,0.699707,0.763765,0.939927,0.383946,0.237905
0.177687,0.355374,0.425603,0.220248,0.390489,0.560730,1.028894,0.031573,0.005610
0.665908,1.331816,0.756313,0.741539,1.044064,1.346589,2.178533,0.443433,0.295286
0.094084,0.188168,0.679978,0.162082,0.434073,0.706064,1.454040,0.008852,0.000833
0.535196,1.070393,0.382057,0.573402,0.726225,0.879048,1.299310,0.286435,0.153299
0.922599,1.845198,0.315721,0.954171,1.080460,1.206748,1.554042,0.851189,0.785306
0.079941,0.159881,0.914837,0.171424,0.537359,0.903294,1.909616,0.006391,0.000511
0.450264,0.900529,0.594946,0.509759,0.747737,0.985715,1.640156,0.202738,0.091286
0.672117,1.344235,0.897160,0.761833,1.120698,1.479562,2.466438,0.451742,0.303624
0.155310,0.310620,0.306817,0.185992,0.308718,0.431445,0.768944,0.024121,0.003746
0.442587,0.885175,0.127680,0.455355,0.506427,0.557499,0.697947,0.195884,0.086696
0.302310,0.604620,0.733845,0.375694,0.669232,0.962770,1.769999,0.091391,0.027629
0.357936,0.715871,0.220395,0.379975,0.468133,0.556291,0.798726,0.128118,0.045858
0.611272,1.222544,0.832205,0.694492,1.027374,1.360256,2.275681,0.373653,0.228404
0.748663,1.497325,0.534786,0.802141,1.016055,1.229970,1.818234,0.560496,0.419622
0.068076,0.136151,0.702670,0.138343,0.419410,0.700478,1.473415,0.004634,0.000315
